temperature,humidity,lux,flux
26.75,44.04,0,26.11
26.69,43.69,0,23.5
26.69,43.4,0,13.05
26.69,43.15,0,13.05
26.69,42.95,0,10.44
26.62,42.78,0,13.05
26.62,42.69,6,13.05
26.56,42.67,14,7.83
26.56,42.62,24,39.16
26.56,42.55,6,23.5
26.5,42.48,6,20.88
26.5,42.43,6,15.66
26.5,42.38,6,15.66
26.5,42.32,14,7.83
26.44,42.29,14,7.83
26.44,42.28,14,7.83
26.44,42.28,14,7.83
26.44,42.47,14,7.83
26.37,42.74,14,10.44
26.37,42.94,14,15.66
26.31,42.96,14,20.88
26.31,42.95,14,13.05
26.31,42.98,14,13.05
26.25,43.03,14,13.05
26.31,43.06,14,10.44
26.25,43.07,14,7.83
26.25,43.06,0,7.83
26.25,43.04,14,13.05
26.25,42.92,6,10.44
26.25,42.8,6,13.05
26.25,42.69,0,5.22
26.31,43.35,0,10.44
26.37,45.14,40,18.27
26.44,46.04,40,5.22
26.5,46.06,80,2.61
26.5,46.13,24,0
26.56,46.01,40,5.22
26.56,45.72,96,5.22
26.62,45.22,121,7.83
26.62,44.68,71,5.22
26.62,44.2,80,0
26.69,43.77,80,-2.61
26.69,43.39,40,2.61
26.69,43.1,55,5.22
26.69,42.89,64,5.22
26.69,42.71,80,2.61
26.75,42.56,64,0
26.75,42.42,80,7.83
26.75,42.34,80,2.61
26.75,42.27,80,0
26.75,42.21,80,2.61
26.81,42.15,80,5.22
26.81,42.1,80,5.22
26.75,42.06,80,10.44
26.81,42.02,80,2.61
26.81,41.95,80,5.22
26.81,41.89,80,2.61
26.81,41.86,80,5.22
26.75,41.81,80,2.61
26.75,41.77,80,10.44
26.81,41.76,80,7.83
26.81,41.7,80,15.66
26.81,41.68,80,13.05
26.81,41.78,96,7.83
26.81,41.92,96,10.44
26.81,42.01,80,15.66
26.81,42.08,80,20.88
26.81,42.1,80,18.27
26.81,42.08,64,10.44
26.81,41.98,64,15.66
26.75,41.91,80,10.44
26.75,41.79,80,13.05
26.75,41.67,80,13.05
26.69,41.53,80,13.05
26.69,41.37,80,26.11
26.69,41.37,80,33.94
26.69,41.48,80,18.27
26.69,41.48,80,20.88
26.69,41.41,80,18.27
26.69,41.4,80,36.55
26.69,41.41,80,23.5
26.69,41.37,80,23.5
26.69,41.32,80,36.55
26.69,41.28,80,39.16
26.69,41.19,80,31.33
26.69,41.12,80,20.88
26.69,41.13,80,28.72
26.69,41.06,80,23.5
26.69,40.93,80,31.33
26.69,40.79,96,31.33
26.69,40.6,96,20.88
26.69,40.37,96,18.27
26.69,40.18,96,28.72
26.69,39.99,96,20.88
26.62,39.8,96,23.5
26.69,39.63,96,26.11
26.69,39.48,96,23.5
26.69,39.36,96,20.88
26.69,39.27,96,23.5
26.69,39.26,96,28.72
26.69,39.23,96,28.72
26.69,39.15,96,26.11
26.69,39.07,96,23.5
26.62,38.99,96,26.11
26.62,38.92,96,20.88
26.62,38.84,96,26.11
26.62,38.77,96,31.33
26.62,38.7,96,28.72
26.62,38.64,96,20.88
26.62,38.6,96,18.27
26.62,38.61,96,31.33
26.62,38.61,96,18.27
26.62,38.58,96,26.11
26.62,38.57,96,13.05
26.62,38.52,96,18.27
26.62,38.44,80,28.72
26.62,38.35,80,36.55
26.62,38.28,80,23.5
26.62,38.26,80,20.88
26.62,38.25,80,18.27
26.62,38.27,80,28.72
26.69,38.25,80,18.27
26.62,38.26,80,20.88
26.62,38.27,80,26.11
26.62,38.28,96,26.11
26.62,38.39,96,13.05
26.62,38.34,96,20.88
26.56,38.23,80,15.66
26.56,38.12,80,18.27
26.56,38.04,80,23.5
26.56,37.97,80,7.83
26.5,37.9,80,10.44
26.56,37.83,80,18.27
26.56,37.77,80,15.66
26.56,37.74,80,18.27
26.56,37.69,80,23.5
26.56,37.7,80,26.11
26.56,37.76,80,23.5
26.56,37.8,80,26.11
26.56,37.8,96,23.5
26.56,37.8,96,23.5
26.56,37.78,80,26.11
26.56,37.74,96,15.66
26.56,37.69,80,20.88
26.5,37.64,80,20.88
26.56,37.58,80,15.66
26.56,37.54,96,13.05
26.5,37.51,96,13.05
26.5,37.47,80,7.83
26.56,37.44,96,20.88
